family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
E8	9	0	A	15	9	EAo:5,EAa:1,EBo:6,EOo:1,CHo:8,CAo:5,CBo:5,COo:9	32	3428	24217324560
E8	9	1	H	15	8	EHa:1,EAo:5,EBo:5,EOo:2,CHo:7,CAo:6,CBo:6,COo:8	32	5160	24084672040
E8	9	1	A	15	8	EHo:1,EAo:4,EAa:1,EBo:5,EOo:2,CHo:7,CAo:6,CBo:6,COo:8	31	9096	24084672040
E8	9	2	H	15	7	EHo:1,EHa:1,EAo:4,EBo:4,EOo:3,CHo:6,CAo:7,CBo:7,COo:7	31	10542	24118499860
E8	9	2	A	15	7	EHo:2,EAo:3,EAa:1,EBo:4,EOo:3,CHo:6,CAo:7,CBo:7,COo:7	31	13264	24118499860
E8	9	3	H	15	6	EHo:2,EHa:1,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:8,COo:6	31	12127	24278254840
E8	9	3	A	15	6	EHo:3,EAo:2,EAa:1,EBo:3,EOo:4,CHo:5,CAo:8,CBo:8,COo:6	31	12327	24278254840
E8	9	4	H	15	5	EHo:3,EHa:1,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:9,COo:5	31	8682	24566267264
E8	9	4	A	15	5	EHo:4,EAo:1,EAa:1,EBo:2,EOo:5,CHo:4,CAo:9,CBo:9,COo:5	31	7255	24566267264
E8	9	5	H	15	4	EHo:4,EHa:1,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:10,COo:4	31	3760	25003900040
E8	9	5	A	15	4	EHo:5,EAa:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:10,COo:4	32	2248	25003900040
E8	9	6	H	15	3	EHo:5,EHa:1,EOo:7,CHo:2,CAo:11,CBo:11,COo:3	33	728	25647499220
E8	10	0	A	15	10	EAo:5,EAa:1,EBo:6,EOo:1,CHo:9,CAo:4,CBo:4,COo:10	32	2143	19047311712
E8	10	1	H	15	9	EHa:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:5,COo:9	32	3830	19159947312
E8	10	1	A	15	9	EHo:1,EAo:4,EAa:1,EBo:5,EOo:2,CHo:8,CAo:5,CBo:5,COo:9	31	6730	19159947312
E8	10	2	H	15	8	EHo:1,EHa:1,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:6,COo:8	31	8946	19298053560
E8	10	2	A	15	8	EHo:2,EAo:3,EAa:1,EBo:4,EOo:3,CHo:7,CAo:6,CBo:6,COo:8	31	10999	19298053560
E8	10	3	H	15	7	EHo:2,EHa:1,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:7,COo:7	31	11408	19472086060
E8	10	3	A	15	7	EHo:3,EAo:2,EAa:1,EBo:3,EOo:4,CHo:6,CAo:7,CBo:7,COo:7	31	11306	19472086060
E8	10	4	H	15	6	EHo:3,EHa:1,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:8,COo:6	31	8956	19693467360
E8	10	4	A	15	6	EHo:4,EAo:1,EAa:1,EBo:2,EOo:5,CHo:5,CAo:8,CBo:8,COo:6	31	7249	19693467360
E8	10	5	H	15	5	EHo:4,EHa:1,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:9,COo:5	31	4296	19976355112
E8	10	5	A	15	5	EHo:5,EAa:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:9,COo:5	32	2528	19976355112
E8	10	6	H	15	4	EHo:5,EHa:1,EOo:7,CHo:3,CAo:10,CBo:10,COo:4	33	968	20337583952
E8	11	0	A	15	11	EAo:5,EAa:1,EBo:6,EOo:1,CHo:10,CAo:3,CBo:3,COo:11	32	1096	13719497220
E8	11	1	H	15	10	EHa:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:4,COo:10	32	2219	14062235616
E8	11	1	A	15	10	EHo:1,EAo:4,EAa:1,EBo:5,EOo:2,CHo:9,CAo:4,CBo:4,COo:10	31	3883	14062235616
E8	11	2	H	15	9	EHo:1,EHa:1,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:5,COo:9	31	5940	14297275036
E8	11	2	A	15	9	EHo:2,EAo:3,EAa:1,EBo:4,EOo:3,CHo:8,CAo:5,CBo:5,COo:9	31	7392	14297275036
E8	11	3	H	15	8	EHo:2,EHa:1,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:6,COo:8	31	8689	14489455444
E8	11	3	A	15	8	EHo:3,EAo:2,EAa:1,EBo:3,EOo:4,CHo:7,CAo:6,CBo:6,COo:8	31	8539	14489455444
E8	11	4	H	15	7	EHo:3,EHa:1,EAo:2,EBo:2,EOo:5,CHo:6,CAo:7,CBo:7,COo:7	31	7612	14666660512
E8	11	4	A	15	7	EHo:4,EAo:1,EAa:1,EBo:2,EOo:5,CHo:6,CAo:7,CBo:7,COo:7	31	6074	14666660512
E8	11	5	H	15	6	EHo:4,EHa:1,EAo:1,EBo:1,EOo:6,CHo:5,CAo:8,CBo:8,COo:6	31	3984	14842513560
E8	11	5	A	15	6	EHo:5,EAa:1,EBo:1,EOo:6,CHo:5,CAo:8,CBo:8,COo:6	32	2284	14842513560
E8	11	6	H	15	5	EHo:5,EHa:1,EOo:7,CHo:4,CAo:9,CBo:9,COo:5	33	989	15017602082
E8	12	0	A	15	12	EAo:5,EAa:1,EBo:6,EOo:1,CHo:11,CAo:2,CBo:2,COo:12	32	414	8745628320
E8	12	1	H	15	11	EHa:1,EAo:5,EBo:5,EOo:2,CHo:10,CAo:3,CBo:3,COo:11	32	992	9162925200
E8	12	1	A	15	11	EHo:1,EAo:4,EAa:1,EBo:5,EOo:2,CHo:10,CAo:3,CBo:3,COo:11	31	1728	9162925200
E8	12	2	H	15	10	EHo:1,EHa:1,EAo:4,EBo:4,EOo:3,CHo:9,CAo:4,CBo:4,COo:10	31	3012	9416546568
E8	12	2	A	15	10	EHo:2,EAo:3,EAa:1,EBo:4,EOo:3,CHo:9,CAo:4,CBo:4,COo:10	31	3731	9416546568
E8	12	3	H	15	9	EHo:2,EHa:1,EAo:3,EBo:3,EOo:4,CHo:8,CAo:5,CBo:5,COo:9	31	5012	9594006984
E8	12	3	A	15	9	EHo:3,EAo:2,EAa:1,EBo:3,EOo:4,CHo:8,CAo:5,CBo:5,COo:9	31	4996	9594006984
E8	12	4	H	15	8	EHo:3,EHa:1,EAo:2,EBo:2,EOo:5,CHo:7,CAo:6,CBo:6,COo:8	31	5040	9732054600
E8	12	4	A	15	8	EHo:4,EAo:1,EAa:1,EBo:2,EOo:5,CHo:7,CAo:6,CBo:6,COo:8	31	4002	9732054600
E8	12	5	H	15	7	EHo:4,EHa:1,EAo:1,EBo:1,EOo:6,CHo:6,CAo:7,CBo:7,COo:7	31	2936	9845660160
E8	12	5	A	15	7	EHo:5,EAa:1,EBo:1,EOo:6,CHo:6,CAo:7,CBo:7,COo:7	32	1656	9845660160
E8	12	6	H	15	6	EHo:5,EHa:1,EOo:7,CHo:5,CAo:8,CBo:8,COo:6	33	789	9935399250
E8	13	0	A	15	13	EAo:5,EAa:1,EBo:6,EOo:1,CHo:12,CAo:1,CBo:1,COo:13	32	92	4251347100
E8	13	1	H	15	12	EHa:1,EAo:5,EBo:5,EOo:2,CHo:11,CAo:2,CBo:2,COo:12	32	279	4534770240
E8	13	1	A	15	12	EHo:1,EAo:4,EAa:1,EBo:5,EOo:2,CHo:11,CAo:2,CBo:2,COo:12	31	486	4534770240
E8	13	2	H	15	11	EHo:1,EHa:1,EAo:4,EBo:4,EOo:3,CHo:10,CAo:3,CBo:3,COo:11	31	992	4698734040
E8	13	2	A	15	11	EHo:2,EAo:3,EAa:1,EBo:4,EOo:3,CHo:10,CAo:3,CBo:3,COo:11	31	1232	4698734040
E8	13	3	H	15	10	EHo:2,EHa:1,EAo:3,EBo:3,EOo:4,CHo:9,CAo:4,CBo:4,COo:10	31	1869	4807110672
E8	13	3	A	15	10	EHo:3,EAo:2,EAa:1,EBo:3,EOo:4,CHo:9,CAo:4,CBo:4,COo:10	31	1860	4807110672
E8	13	4	H	15	9	EHo:3,EHa:1,EAo:2,EBo:2,EOo:5,CHo:8,CAo:5,CBo:5,COo:9	31	2140	4886798784
E8	13	4	A	15	9	EHo:4,EAo:1,EAa:1,EBo:2,EOo:5,CHo:8,CAo:5,CBo:5,COo:9	31	1739	4886798784
E8	13	5	H	15	8	EHo:4,EHa:1,EAo:1,EBo:1,EOo:6,CHo:7,CAo:6,CBo:6,COo:8	31	1432	4948876800
E8	13	5	A	15	8	EHo:5,EAa:1,EBo:1,EOo:6,CHo:7,CAo:6,CBo:6,COo:8	32	800	4948876800
E8	13	6	H	15	7	EHo:5,EHa:1,EOo:7,CHo:6,CAo:7,CBo:7,COo:7	33	414	4995950820
E77	9	0	BB	15	9	EAo:6,EBo:4,EBa:2,EOo:1,CHo:8,CAo:5,CBo:5,COo:9	32	4367	24217324560
E77	9	0	BO	15	9	EAo:6,EBo:5,EBa:1,EOa:1,CHo:8,CAo:5,CBo:5,COo:9	32	3428	24217324560
E77	9	1	BB	15	8	EHo:1,EAo:5,EBo:3,EBa:2,EOo:2,CHo:7,CAo:6,CBo:6,COo:8	31	11190	24084672040
E77	9	1	BO	15	8	EHo:1,EAo:5,EBo:4,EBa:1,EOo:1,EOa:1,CHo:7,CAo:6,CBo:6,COo:8	30	12311	24084672040
E77	9	1	OO	15	8	EHo:1,EAo:5,EBo:5,EOa:2,CHo:7,CAo:6,CBo:6,COo:8	32	5160	24084672040
E77	9	2	BB	15	7	EHo:2,EAo:4,EBo:2,EBa:2,EOo:3,CHo:6,CAo:7,CBo:7,COo:7	31	15222	24118499860
E77	9	2	BO	15	7	EHo:2,EAo:4,EBo:3,EBa:1,EOo:2,EOa:1,CHo:6,CAo:7,CBo:7,COo:7	30	20584	24118499860
E77	9	2	OO	15	7	EHo:2,EAo:4,EBo:4,EOo:1,EOa:2,CHo:6,CAo:7,CBo:7,COo:7	31	12170	24118499860
E77	9	3	BB	15	6	EHo:3,EAo:3,EBo:1,EBa:2,EOo:4,CHo:5,CAo:8,CBo:8,COo:6	31	12327	24278254840
E77	9	3	BO	15	6	EHo:3,EAo:3,EBo:2,EBa:1,EOo:3,EOa:1,CHo:5,CAo:8,CBo:8,COo:6	30	21032	24278254840
E77	9	3	OO	15	6	EHo:3,EAo:3,EBo:3,EOo:2,EOa:2,CHo:5,CAo:8,CBo:8,COo:6	31	15459	24278254840
E77	9	4	BB	15	5	EHo:4,EAo:2,EBa:2,EOo:5,CHo:4,CAo:9,CBo:9,COo:5	32	5355	24566267264
E77	9	4	BO	15	5	EHo:4,EAo:2,EBo:1,EBa:1,EOo:4,EOa:1,CHo:4,CAo:9,CBo:9,COo:5	30	13210	24566267264
E77	9	4	OO	15	5	EHo:4,EAo:2,EBo:2,EOo:3,EOa:2,CHo:4,CAo:9,CBo:9,COo:5	31	12231	24566267264
E77	9	5	BO	15	4	EHo:5,EAo:1,EBa:1,EOo:5,EOa:1,CHo:3,CAo:10,CBo:10,COo:4	31	4288	25003900040
E77	9	5	OO	15	4	EHo:5,EAo:1,EBo:1,EOo:4,EOa:2,CHo:3,CAo:10,CBo:10,COo:4	31	5675	25003900040
E77	9	6	OO	15	3	EHo:6,EOo:5,EOa:2,CHo:2,CAo:11,CBo:11,COo:3	33	1156	25647499220
E77	10	0	BB	15	10	EAo:6,EBo:4,EBa:2,EOo:1,CHo:9,CAo:4,CBo:4,COo:10	32	2719	19047311712
E77	10	0	BO	15	10	EAo:6,EBo:5,EBa:1,EOa:1,CHo:9,CAo:4,CBo:4,COo:10	32	2143	19047311712
E77	10	1	BB	15	9	EHo:1,EAo:5,EBo:3,EBa:2,EOo:2,CHo:8,CAo:5,CBo:5,COo:9	31	8267	19159947312
E77	10	1	BO	15	9	EHo:1,EAo:5,EBo:4,EBa:1,EOo:1,EOa:1,CHo:8,CAo:5,CBo:5,COo:9	30	9104	19159947312
E77	10	1	OO	15	9	EHo:1,EAo:5,EBo:5,EOa:2,CHo:8,CAo:5,CBo:5,COo:9	32	3830	19159947312
E77	10	2	BB	15	8	EHo:2,EAo:4,EBo:2,EBa:2,EOo:3,CHo:7,CAo:6,CBo:6,COo:8	31	12617	19298053560
E77	10	2	BO	15	8	EHo:2,EAo:4,EBo:3,EBa:1,EOo:2,EOa:1,CHo:7,CAo:6,CBo:6,COo:8	30	17050	19298053560
E77	10	2	OO	15	8	EHo:2,EAo:4,EBo:4,EOo:1,EOa:2,CHo:7,CAo:6,CBo:6,COo:8	31	10099	19298053560
E77	10	3	BB	15	7	EHo:3,EAo:3,EBo:1,EBa:2,EOo:4,CHo:6,CAo:7,CBo:7,COo:7	31	11306	19472086060
E77	10	3	BO	15	7	EHo:3,EAo:3,EBo:2,EBa:1,EOo:3,EOa:1,CHo:6,CAo:7,CBo:7,COo:7	30	19256	19472086060
E77	10	3	OO	15	7	EHo:3,EAo:3,EBo:3,EOo:2,EOa:2,CHo:6,CAo:7,CBo:7,COo:7	31	14142	19472086060
E77	10	4	BB	15	6	EHo:4,EAo:2,EBa:2,EOo:5,CHo:5,CAo:8,CBo:8,COo:6	32	5356	19693467360
E77	10	4	BO	15	6	EHo:4,EAo:2,EBo:1,EBa:1,EOo:4,EOa:1,CHo:5,CAo:8,CBo:8,COo:6	30	13229	19693467360
E77	10	4	OO	15	6	EHo:4,EAo:2,EBo:2,EOo:3,EOa:2,CHo:5,CAo:8,CBo:8,COo:6	31	12265	19693467360
E77	10	5	BO	15	5	EHo:5,EAo:1,EBa:1,EOo:5,EOa:1,CHo:4,CAo:9,CBo:9,COo:5	31	4835	19976355112
E77	10	5	OO	15	5	EHo:5,EAo:1,EBo:1,EOo:4,EOa:2,CHo:4,CAo:9,CBo:9,COo:5	31	6428	19976355112
E77	10	6	OO	15	4	EHo:6,EOo:5,EOa:2,CHo:3,CAo:10,CBo:10,COo:4	33	1522	20337583952
E77	11	0	BB	15	11	EAo:6,EBo:4,EBa:2,EOo:1,CHo:10,CAo:3,CBo:3,COo:11	32	1384	13719497220
E77	11	0	BO	15	11	EAo:6,EBo:5,EBa:1,EOa:1,CHo:10,CAo:3,CBo:3,COo:11	32	1096	13719497220
E77	11	1	BB	15	10	EHo:1,EAo:5,EBo:3,EBa:2,EOo:2,CHo:9,CAo:4,CBo:4,COo:10	31	4753	14062235616
E77	11	1	BO	15	10	EHo:1,EAo:5,EBo:4,EBa:1,EOo:1,EOa:1,CHo:9,CAo:4,CBo:4,COo:10	30	5252	14062235616
E77	11	1	OO	15	10	EHo:1,EAo:5,EBo:5,EOa:2,CHo:9,CAo:4,CBo:4,COo:10	32	2219	14062235616
E77	11	2	BB	15	9	EHo:2,EAo:4,EBo:2,EBa:2,EOo:3,CHo:8,CAo:5,CBo:5,COo:9	31	8458	14297275036
E77	11	2	BO	15	9	EHo:2,EAo:4,EBo:3,EBa:1,EOo:2,EOa:1,CHo:8,CAo:5,CBo:5,COo:9	30	11438	14297275036
E77	11	2	OO	15	9	EHo:2,EAo:4,EBo:4,EOo:1,EOa:2,CHo:8,CAo:5,CBo:5,COo:9	31	6796	14297275036
E77	11	3	BB	15	8	EHo:3,EAo:3,EBo:1,EBa:2,EOo:4,CHo:7,CAo:6,CBo:6,COo:8	31	8539	14489455444
E77	11	3	BO	15	8	EHo:3,EAo:3,EBo:2,EBa:1,EOo:3,EOa:1,CHo:7,CAo:6,CBo:6,COo:8	30	14499	14489455444
E77	11	3	OO	15	8	EHo:3,EAo:3,EBo:3,EOo:2,EOa:2,CHo:7,CAo:6,CBo:6,COo:8	31	10662	14489455444
E77	11	4	BB	15	7	EHo:4,EAo:2,EBa:2,EOo:5,CHo:6,CAo:7,CBo:7,COo:7	32	4484	14666660512
E77	11	4	BO	15	7	EHo:4,EAo:2,EBo:1,EBa:1,EOo:4,EOa:1,CHo:6,CAo:7,CBo:7,COo:7	30	11054	14666660512
E77	11	4	OO	15	7	EHo:4,EAo:2,EBo:2,EOo:3,EOa:2,CHo:6,CAo:7,CBo:7,COo:7	31	10224	14666660512
E77	11	5	BO	15	6	EHo:5,EAo:1,EBa:1,EOo:5,EOa:1,CHo:5,CAo:8,CBo:8,COo:6	31	4385	14842513560
E77	11	5	OO	15	6	EHo:5,EAo:1,EBo:1,EOo:4,EOa:2,CHo:5,CAo:8,CBo:8,COo:6	31	5874	14842513560
E77	11	6	OO	15	5	EHo:6,EOo:5,EOa:2,CHo:4,CAo:9,CBo:9,COo:5	33	1555	15017602082
E77	12	0	BB	15	12	EAo:6,EBo:4,EBa:2,EOo:1,CHo:11,CAo:2,CBo:2,COo:12	32	522	8745628320
E77	12	0	BO	15	12	EAo:6,EBo:5,EBa:1,EOa:1,CHo:11,CAo:2,CBo:2,COo:12	32	414	8745628320
E77	12	1	BB	15	11	EHo:1,EAo:5,EBo:3,EBa:2,EOo:2,CHo:10,CAo:3,CBo:3,COo:11	31	2112	9162925200
E77	12	1	BO	15	11	EHo:1,EAo:5,EBo:4,EBa:1,EOo:1,EOa:1,CHo:10,CAo:3,CBo:3,COo:11	30	2336	9162925200
E77	12	1	OO	15	11	EHo:1,EAo:5,EBo:5,EOa:2,CHo:10,CAo:3,CBo:3,COo:11	32	992	9162925200
E77	12	2	BB	15	10	EHo:2,EAo:4,EBo:2,EBa:2,EOo:3,CHo:9,CAo:4,CBo:4,COo:10	31	4265	9416546568
E77	12	2	BO	15	10	EHo:2,EAo:4,EBo:3,EBa:1,EOo:2,EOa:1,CHo:9,CAo:4,CBo:4,COo:10	30	5768	9416546568
E77	12	2	OO	15	10	EHo:2,EAo:4,EBo:4,EOo:1,EOa:2,CHo:9,CAo:4,CBo:4,COo:10	31	3441	9416546568
E77	12	3	BB	15	9	EHo:3,EAo:3,EBo:1,EBa:2,EOo:4,CHo:8,CAo:5,CBo:5,COo:9	31	4996	9594006984
E77	12	3	BO	15	9	EHo:3,EAo:3,EBo:2,EBa:1,EOo:3,EOa:1,CHo:8,CAo:5,CBo:5,COo:9	30	8450	9594006984
E77	12	3	OO	15	9	EHo:3,EAo:3,EBo:3,EOo:2,EOa:2,CHo:8,CAo:5,CBo:5,COo:9	31	6237	9594006984
E77	12	4	BB	15	8	EHo:4,EAo:2,EBa:2,EOo:5,CHo:7,CAo:6,CBo:6,COo:8	32	2962	9732054600
E77	12	4	BO	15	8	EHo:4,EAo:2,EBo:1,EBa:1,EOo:4,EOa:1,CHo:7,CAo:6,CBo:6,COo:8	30	7228	9732054600
E77	12	4	OO	15	8	EHo:4,EAo:2,EBo:2,EOo:3,EOa:2,CHo:7,CAo:6,CBo:6,COo:8	31	6678	9732054600
E77	12	5	BO	15	7	EHo:5,EAo:1,EBa:1,EOo:5,EOa:1,CHo:6,CAo:7,CBo:7,COo:7	31	3176	9845660160
E77	12	5	OO	15	7	EHo:5,EAo:1,EBo:1,EOo:4,EOa:2,CHo:6,CAo:7,CBo:7,COo:7	31	4240	9845660160
E77	12	6	OO	15	6	EHo:6,EOo:5,EOa:2,CHo:5,CAo:8,CBo:8,COo:6	33	1232	9935399250
E77	13	0	BB	15	13	EAo:6,EBo:4,EBa:2,EOo:1,CHo:12,CAo:1,CBo:1,COo:13	32	116	4251347100
E77	13	0	BO	15	13	EAo:6,EBo:5,EBa:1,EOa:1,CHo:12,CAo:1,CBo:1,COo:13	32	92	4251347100
E77	13	1	BB	15	12	EHo:1,EAo:5,EBo:3,EBa:2,EOo:2,CHo:11,CAo:2,CBo:2,COo:12	31	594	4534770240
E77	13	1	BO	15	12	EHo:1,EAo:5,EBo:4,EBa:1,EOo:1,EOa:1,CHo:11,CAo:2,CBo:2,COo:12	30	657	4534770240
E77	13	1	OO	15	12	EHo:1,EAo:5,EBo:5,EOa:2,CHo:11,CAo:2,CBo:2,COo:12	32	279	4534770240
E77	13	2	BB	15	11	EHo:2,EAo:4,EBo:2,EBa:2,EOo:3,CHo:10,CAo:3,CBo:3,COo:11	31	1408	4698734040
E77	13	2	BO	15	11	EHo:2,EAo:4,EBo:3,EBa:1,EOo:2,EOa:1,CHo:10,CAo:3,CBo:3,COo:11	30	1904	4698734040
E77	13	2	OO	15	11	EHo:2,EAo:4,EBo:4,EOo:1,EOa:2,CHo:10,CAo:3,CBo:3,COo:11	31	1136	4698734040
E77	13	3	BB	15	10	EHo:3,EAo:3,EBo:1,EBa:2,EOo:4,CHo:9,CAo:4,CBo:4,COo:10	31	1860	4807110672
E77	13	3	BO	15	10	EHo:3,EAo:3,EBo:2,EBa:1,EOo:3,EOa:1,CHo:9,CAo:4,CBo:4,COo:10	30	3144	4807110672
E77	13	3	OO	15	10	EHo:3,EAo:3,EBo:3,EOo:2,EOa:2,CHo:9,CAo:4,CBo:4,COo:10	31	2321	4807110672
E77	13	4	BB	15	9	EHo:4,EAo:2,EBa:2,EOo:5,CHo:8,CAo:5,CBo:5,COo:9	32	1288	4886798784
E77	13	4	BO	15	9	EHo:4,EAo:2,EBo:1,EBa:1,EOo:4,EOa:1,CHo:8,CAo:5,CBo:5,COo:9	30	3111	4886798784
E77	13	4	OO	15	9	EHo:4,EAo:2,EBo:2,EOo:3,EOa:2,CHo:8,CAo:5,CBo:5,COo:9	31	2861	4886798784
E77	13	5	BO	15	8	EHo:5,EAo:1,EBa:1,EOo:5,EOa:1,CHo:7,CAo:6,CBo:6,COo:8	31	1524	4948876800
E77	13	5	OO	15	8	EHo:5,EAo:1,EBo:1,EOo:4,EOa:2,CHo:7,CAo:6,CBo:6,COo:8	31	2014	4948876800
E77	13	6	OO	15	7	EHo:6,EOo:5,EOa:2,CHo:6,CAo:7,CBo:7,COo:7	33	644	4995950820
C8	9	0	B	15	9	EAo:6,EBo:6,EOo:1,CHo:8,CAo:5,CBo:4,CBa:1,COo:9	32	3253	24217324560
C8	9	0	O	15	9	EAo:6,EBo:6,EOo:1,CHo:8,CAo:5,CBo:5,COo:8,COa:1	32	3606	24217324560
C8	9	1	B	15	8	EHo:1,EAo:5,EBo:5,EOo:2,CHo:7,CAo:6,CBo:5,CBa:1,COo:8	31	9117	24084672040
C8	9	1	O	15	8	EHo:1,EAo:5,EBo:5,EOo:2,CHo:7,CAo:6,CBo:6,COo:7,COa:1	31	9558	24084672040
C8	9	2	B	15	7	EHo:2,EAo:4,EBo:4,EOo:3,CHo:6,CAo:7,CBo:6,CBa:1,COo:7	31	14288	24118499860
C8	9	2	O	15	7	EHo:2,EAo:4,EBo:4,EOo:3,CHo:6,CAo:7,CBo:7,COo:6,COa:1	31	14158	24118499860
C8	9	3	B	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:7,CBa:1,COo:6	31	14817	24278254840
C8	9	3	O	15	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CAo:8,CBo:8,COo:5,COa:1	31	13954	24278254840
C8	9	4	B	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:8,CBa:1,COo:5	31	10185	24566267264
C8	9	4	O	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:9,CBo:9,COo:4,COa:1	31	9093	24566267264
C8	9	5	B	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:9,CBa:1,COo:4	31	4326	25003900040
C8	9	5	O	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:10,CBo:10,COo:3,COa:1	31	3648	25003900040
C8	9	6	B	15	3	EHo:6,EOo:7,CHo:2,CAo:11,CBo:10,CBa:1,COo:3	33	831	25647499220
C8	9	6	O	15	3	EHo:6,EOo:7,CHo:2,CAo:11,CBo:11,COo:2,COa:1	33	648	25647499220
C8	10	0	B	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:4,CBo:3,CBa:1,COo:10	32	1945	19047311712
C8	10	0	O	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:4,CBo:4,COo:9,COa:1	32	2318	19047311712
C8	10	1	B	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:4,CBa:1,COo:9	31	6518	19159947312
C8	10	1	O	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:5,CBo:5,COo:8,COa:1	31	7251	19159947312
C8	10	2	B	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:5,CBa:1,COo:8	31	11496	19298053560
C8	10	2	O	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:6,CBo:6,COo:7,COa:1	31	12066	19298053560
C8	10	3	B	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:6,CBa:1,COo:7	31	13241	19472086060
C8	10	3	O	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:7,CBo:7,COo:6,COa:1	31	13139	19472086060
C8	10	4	B	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:7,CBa:1,COo:6	31	9970	19693467360
C8	10	4	O	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:8,CBo:8,COo:5,COa:1	31	9408	19693467360
C8	10	5	B	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:8,CBa:1,COo:5	31	4790	19976355112
C8	10	5	O	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:9,CBo:9,COo:4,COa:1	31	4296	19976355112
C8	10	6	B	15	4	EHo:6,EOo:7,CHo:3,CAo:10,CBo:9,CBa:1,COo:4	33	1062	20337583952
C8	10	6	O	15	4	EHo:6,EOo:7,CHo:3,CAo:10,CBo:10,COo:3,COa:1	33	900	20337583952
C8	11	0	B	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:3,CBo:2,CBa:1,COo:11	32	926	13719497220
C8	11	0	O	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:3,CBo:3,COo:10,COa:1	32	1219	13719497220
C8	11	1	B	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:3,CBa:1,COo:10	31	3590	14062235616
C8	11	1	O	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:4,CBo:4,COo:9,COa:1	31	4300	14062235616
C8	11	2	B	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:4,CBa:1,COo:9	31	7464	14297275036
C8	11	2	O	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:5,CBo:5,COo:8,COa:1	31	8330	14297275036
C8	11	3	B	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:5,CBa:1,COo:8	31	9708	14489455444
C8	11	3	O	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:6,CBo:6,COo:7,COa:1	31	10204	14489455444
